penyebut,pembilang,penyebut m(x),pembilang m(x),tau(x),sigma(x),maks orbit(penyebut),maks orbit(pembilang),banyaknya n,banyaknya kenaikan,mutlak selisih maksimum(penyebut),mutlak selisih maksimum(pembilang),klasifikasi
2,1,2,1,4,4,1,1,1,2,2,1,1
3762,1897,418,283,73,44,1,1,35,59,3762,1897,1
1822,919,911,622,73,52,3644,3703,35,59,1822,919,1
3638,1835,3638,2485,73,43,1819,1850,35,59,3638,1835,1
1778,897,889,611,73,52,3556,3659,35,59,1778,897,1
2758,1395,2758,2045,73,52,1379,1630,35,59,2758,1395,1
2706,1369,902,673,73,52,41,49,35,59,2706,1369,1
1998,1015,6,5,73,36,111,160,35,59,222,139,1
1938,985,646,545,73,35,17,25,35,59,646,417,1
902,459,451,392,73,20,164,253,35,59,1804,1251,1
842,429,421,377,73,19,1684,2723,35,59,1684,1251,1
202,103,808,737,73,52,1616,2689,35,59,1616,1251,1
402,205,268,245,73,52,536,895,35,59,536,417,1
100,51,800,733,73,52,1600,2681,35,59,1600,1251,1
398,203,796,731,73,52,1592,2677,35,59,1592,1251,1
198,101,88,81,73,52,16,27,35,59,176,139,1
394,201,788,727,73,52,1576,2669,35,59,1576,1251,1
49,25,784,725,73,52,1568,2665,35,59,1568,1251,1
390,199,260,241,73,52,520,887,35,59,520,417,1
194,99,776,721,73,52,1552,2657,35,59,1552,1251,1
774,395,43,40,73,34,172,295,35,59,172,139,1
386,197,772,719,73,52,1544,2653,35,59,1544,1251,1
96,49,256,239,73,52,512,883,35,59,512,417,1
382,195,764,715,73,52,1528,2645,35,59,1528,1251,1
190,97,760,713,73,52,80,139,35,59,1520,1251,1
378,193,84,79,73,52,168,293,35,59,168,139,1
754,385,377,355,73,33,1508,2635,35,59,1508,1251,1
370,189,20,19,73,24,1480,2621,35,59,1480,1251,1
354,181,236,229,73,23,472,863,35,59,472,417,1
350,179,700,683,73,12,1400,2581,35,59,1400,1251,1
174,89,232,227,73,26,464,859,35,59,464,417,1
686,351,343,338,73,28,1372,2567,35,59,1372,1251,1
674,345,337,335,73,52,1348,2555,35,59,1348,1251,1
84,43,224,223,73,25,448,851,35,59,448,417,1
670,343,335,334,73,52,1340,2551,35,59,1340,1251,1
666,341,1,1,73,27,148,283,35,59,148,139,1
48610,24889,24305,24307,75,52,97220,185923,36,60,97220,91323,1
47278,24207,23639,23641,75,52,8596,16439,36,59,94556,88821,1
48606,24887,8101,8102,75,52,32404,61973,36,59,32404,30441,1
47274,24205,7879,7880,75,52,31516,60275,36,59,31516,29607,1
48602,24885,24301,24305,75,52,5116,9785,36,59,97204,91323,1
47270,24203,23635,23639,75,52,94540,180821,36,59,94540,88821,1
48594,24881,8099,8101,75,52,32396,61969,36,59,32396,30441,1
47262,24199,7877,7879,75,52,31508,60271,36,59,31508,29607,1
48586,24877,24293,24301,75,52,97172,185899,36,59,97172,91323,1
47254,24195,23627,23635,75,52,94508,180805,36,59,94508,88821,1
48578,24873,24289,24299,75,52,97156,185891,36,59,97156,91323,1
47246,24191,23623,23633,75,52,94492,180797,36,59,94492,88821,1
48570,24869,8095,8099,75,52,32380,61961,36,59,32380,30441,1
