"Model","Variant","Accuracy","Precision","Recall","F1","AUC"
"Logistic Regression","Original (8 vars)",0.942773294203962,0.934002869440459,0.953147877013177,0.943478260869565,0.982085952975627
"Decision Tree","Original (8 vars)",0.955245781364637,0.936797752808989,0.976573938506589,0.956272401433692,0.972825338041512
"Random Forest","Original (8 vars)",0.98459280997799,0.982507288629738,0.986822840409956,0.984660336011687,0.998569244681767
"Logistic Regression","Drop X1",0.933969185619956,0.914685314685315,0.957540263543192,0.935622317596567,0.976535182154853
"Decision Tree","Drop X1",0.925898752751284,0.907563025210084,0.948755490483163,0.927702219040802,0.946450564120231
"Random Forest","Drop X1",0.980190755685987,0.978134110787172,0.982430453879941,0.980277574872169,0.996963009215399
"Logistic Regression","Drop X1 and X3",0.919295671313279,0.908701854493581,0.932650073206442,0.920520231213873,0.965763069503057
"Decision Tree","Drop X1 and X3",0.924431401320616,0.903899721448468,0.950219619326501,0.926481084939329,0.945756179484971
"Random Forest","Drop X1 and X3",0.97505502567865,0.982169390787519,0.967789165446559,0.974926253687316,0.996011325467229
"Trivial baseline (denominator only)","log10(X1) threshold",0.877476155539252,0.876093294460641,0.879941434846267,0.878013148283419,NA
